Date,VOO
2010-09-09,76.77693939208984
2010-09-10,77.12552642822266
2010-09-13,78.0954818725586
2010-09-14,78.08030700683594
2010-09-15,78.2773208618164
2010-09-16,78.24698638916016
2010-09-17,78.32279968261719
2010-09-20,79.59584045410156
2010-09-21,79.35334777832031
2010-09-22,78.92900848388672
2010-09-23,78.2773208618164
2010-09-24,79.87574005126953
2010-09-27,79.49479675292969
2010-09-28,80.01288604736328
2010-09-29,79.6319808959961
2010-09-30,79.51004028320312
2010-10-01,79.78433227539062
2010-10-04,79.1138687133789
2010-10-05,80.85095977783203
2010-10-06,80.71382904052734
2010-10-07,80.66810607910156
2010-10-08,81.27763366699219
2010-10-11,81.14045715332031
2010-10-12,81.61283111572266
2010-10-13,82.1004409790039
2010-10-14,81.79571533203125
2010-10-15,81.94807434082031
2010-10-18,82.5423355102539
2010-10-19,81.23190307617188
2010-10-20,82.1004409790039
2010-10-21,82.22235870361328
2010-10-22,82.42042541503906
2010-10-25,82.66421508789062
2010-10-26,82.64901733398438
2010-10-27,82.38995361328125
2010-10-28,82.45091247558594
2010-10-29,82.51184844970703
2010-11-01,82.55758666992188
2010-11-02,83.19756317138672
2010-11-03,83.54802703857422
2010-11-04,85.11752319335938
2010-11-05,85.45275115966797
2010-11-08,85.3460464477539
2010-11-09,84.67564392089844
2010-11-10,84.99560546875
2010-11-11,84.72130584716797
2010-11-12,83.66991424560547
2010-11-15,83.59374237060547
2010-11-16,82.25283813476562
2010-11-17,82.31377410888672
2010-11-18,83.53277587890625
2010-11-19,83.73089599609375
2010-11-22,83.65467834472656
2010-11-23,82.48136901855469
2010-11-24,83.54802703857422
2010-11-26,83.0756607055664
2010-11-29,82.99949645996094
2010-11-30,82.42042541503906
2010-12-01,84.27946472167969
2010-12-02,85.37655639648438
2010-12-03,85.58988189697266
2010-12-06,85.48322296142578
2010-12-07,85.51368713378906
2010-12-08,85.8641586303711
2010-12-09,86.18413543701172
2010-12-10,86.70223236083984
2010-12-13,86.74790954589844
2010-12-14,86.79363250732422
2010-12-15,86.41268920898438
2010-12-16,86.9155502319336
2010-12-17,87.0374526977539
2010-12-20,87.22029876708984
2010-12-21,87.75358581542969
2010-12-22,88.07362365722656
2010-12-23,87.93646240234375
2010-12-27,88.00230407714844
2010-12-28,88.09414672851562
2010-12-29,88.170654296875
2010-12-30,88.03290557861328
2010-12-31,88.12474822998047
2011-01-03,88.95137023925781
2011-01-04,88.87483215332031
2011-01-05,89.34937286376953
2011-01-06,89.1962661743164
2011-01-07,89.0125961303711
2011-01-10,88.9360122680664
2011-01-11,89.22689056396484
2011-01-12,90.02286529541016
2011-01-13,89.90040588378906
2011-01-14,90.5433349609375
2011-01-18,90.6963882446289
2011-01-19,89.79326629638672
2011-01-20,89.68608856201172
2011-01-21,89.88512420654297
2011-01-24,90.43617248535156
2011-01-25,90.40557098388672
2011-01-26,90.88007354736328
2011-01-27,91.00253295898438
2011-01-28,89.39524841308594
2011-01-31,90.08407592773438
2011-02-01,91.49237060546875
2011-02-02,91.33927917480469
2011-02-03,91.56890106201172
2011-02-04,91.81381225585938
2011-02-07,92.39555358886719
2011-02-08,92.82412719726562
2011-02-09,92.5945053100586
2011-02-10,92.62512969970703
2011-02-11,93.20682525634766
2011-02-14,93.43643188476562
2011-02-15,93.09964752197266
2011-02-16,93.6966323852539
2011-02-17,94.04869842529297
2011-02-18,94.20175170898438
2011-02-22,92.2730712890625
2011-02-23,91.75260162353516
2011-02-24,91.66075134277344
2011-02-25,92.65572357177734
2011-02-28,93.20682525634766
2011-03-01,91.61482238769531
2011-03-02,91.87507629394531
2011-03-03,93.4517593383789
2011-03-04,92.76290893554688
2011-03-07,91.95160675048828
2011-03-08,92.80882263183594
2011-03-09,92.70169830322266
2011-03-10,91.00253295898438
2011-03-11,91.61482238769531
2011-03-14,91.07908630371094
2011-03-15,90.06879425048828
2011-03-16,88.35436248779297
2011-03-17,89.45650482177734
2011-03-18,89.83918762207031
2011-03-21,91.2015380859375
2011-03-22,90.88007354736328
2011-03-23,91.17091369628906
2011-03-24,92.02813720703125
2011-03-25,92.30183410644531
2011-03-28,92.10192108154297
2011-03-29,92.7016372680664
2011-03-30,93.33202362060547
2011-03-31,93.20899963378906
2011-04-01,93.63953399658203
2011-04-04,93.6856689453125
2011-04-05,93.6856689453125
2011-04-06,93.96244812011719
2011-04-07,93.7933120727539
2011-04-08,93.43966674804688
2011-04-11,93.1167984008789
2011-04-12,92.4402084350586
2011-04-13,92.47096252441406
2011-04-14,92.48634338378906
2011-04-15,92.80925750732422
2011-04-18,91.79443359375
2011-04-19,92.36334228515625
2011-04-20,93.60877990722656
2011-04-21,94.02393341064453
2011-04-25,93.93167877197266
2011-04-26,94.74661254882812
2011-04-27,95.3616714477539
2011-04-28,95.66915130615234
2011-04-29,95.94593811035156
2011-05-02,95.73066711425781
2011-05-03,95.42314147949219
2011-05-04,94.7773666381836
2011-05-05,93.94705200195312
2011-05-06,94.39295959472656
2011-05-09,94.7773666381836
2011-05-10,95.5615234375
2011-05-11,94.54670715332031
2011-05-12,95.05413055419922
2011-05-13,94.22380828857422
2011-05-16,93.63953399658203
2011-05-17,93.62417602539062
2011-05-18,94.50062561035156
2011-05-19,94.6235580444336
2011-05-20,93.99321746826172
2011-05-23,92.87074279785156
2011-05-24,92.79386138916016
2011-05-25,93.10137176513672
2011-05-26,93.47040557861328
2011-05-27,93.88555145263672
2011-05-31,94.82349395751953
2011-06-01,92.71699523925781
2011-06-02,92.60935974121094
2011-06-03,91.71754455566406
